,City Name,Country,Latitude,Longitude,Date,Temperature,Humidity,Wind Speed,Clouds
0,ribeira grande,PT,38.52,38.52,2019-03-10,289.46,95.0,7.82,76.0
1,vao,EE,59.1,59.1,2019-03-10,265.26,93.0,2.77,20.0
2,bathsheba,BB,13.22,13.22,2019-03-10,298.15,65.0,6.2,20.0
3,bershet,RU,57.73,57.73,2019-03-10,272.15,86.0,3.0,90.0
4,barrow,AR,-38.31,-38.31,2019-03-10,288.335,49.0,4.37,0.0
5,punta arenas,CL,-53.16,-53.16,2019-03-10,285.15,76.0,8.7,90.0
6,khadyzhensk,RU,44.42,44.42,2019-03-10,277.185,55.0,2.52,8.0
7,arcata,US,40.87,40.87,2019-03-10,285.15,100.0,4.1,75.0
8,kamaishi,JP,39.28,39.28,2019-03-10,279.15,93.0,6.7,75.0
9,ushuaia,AR,-54.81,-54.81,2019-03-10,284.15,81.0,11.8,75.0
10,mahebourg,MU,-20.41,-20.41,2019-03-10,297.04,88.0,2.6,20.0
11,port alfred,ZA,-33.59,-33.59,2019-03-10,292.04,97.0,3.13,92.0
12,faya,SA,18.39,18.39,2019-03-10,288.15,77.0,7.2,40.0
13,ahuimanu,US,21.44,21.44,2019-03-10,299.82,61.0,9.8,75.0
14,ojinaga,US,29.56,29.56,2019-03-10,295.15,27.0,1.5,90.0
15,faanui,PF,-16.48,-16.48,2019-03-10,300.935,100.0,2.72,64.0
16,albany,US,42.65,42.65,2019-03-10,277.15,86.0,2.1,90.0
17,kamenka,RU,53.19,53.19,2019-03-10,275.37,86.0,1.62,92.0
18,santa isabel do rio negro,BR,-0.41,-0.41,2019-03-10,298.585,90.0,2.07,20.0
19,kahului,US,20.89,20.89,2019-03-10,298.15,69.0,10.3,75.0
20,tuktoyaktuk,CA,69.44,69.44,2019-03-10,262.15,78.0,4.1,75.0
21,avarua,CK,-21.21,-21.21,2019-03-10,303.15,70.0,5.7,100.0
22,evanston,US,42.04,42.04,2019-03-10,273.71,68.0,6.2,1.0
23,constitucion,MX,23.99,23.99,2019-03-10,297.15,11.0,5.7,5.0
24,cape town,ZA,-33.93,-33.93,2019-03-10,291.48,77.0,9.8,20.0
25,sambava,MG,-14.27,-14.27,2019-03-10,299.185,100.0,3.37,88.0
26,sidrolandia,BR,-20.93,-20.93,2019-03-10,297.15,88.0,3.1,20.0
27,prestea,GH,5.43,5.43,2019-03-10,296.51,91.0,1.07,12.0
28,hermanus,ZA,-34.42,-34.42,2019-03-10,289.26,98.0,1.79,92.0
29,mega,ET,4.06,4.06,2019-03-10,287.96,43.0,2.92,0.0
30,rikitea,PF,-23.12,-23.12,2019-03-10,297.71,100.0,7.92,76.0
31,moose factory,CA,51.26,51.26,2019-03-10,267.15,92.0,2.1,90.0
32,opuwo,NA,-18.06,-18.06,2019-03-10,285.885,62.0,1.52,0.0
33,hobart,AU,-42.88,-42.88,2019-03-10,293.15,34.0,4.6,20.0
34,aktau,KZ,43.65,43.65,2019-03-10,278.15,75.0,4.0,0.0
35,busselton,AU,-33.64,-33.64,2019-03-10,294.82,46.0,4.57,0.0
36,bluff,AU,-23.58,-23.58,2019-03-10,308.01,41.0,1.87,0.0
37,cockburn town,TC,21.46,21.46,2019-03-10,298.085,100.0,8.97,92.0
38,jamestown,AU,-33.21,-33.21,2019-03-10,293.785,92.0,4.82,68.0
39,shetpe,KZ,44.14,44.14,2019-03-10,280.185,62.0,5.82,68.0
40,saldanha,PT,41.42,41.42,2019-03-10,275.46,82.0,1.07,0.0
41,terenos,BR,-20.44,-20.44,2019-03-10,297.15,88.0,3.1,20.0
42,chokurdakh,RU,70.62,70.62,2019-03-10,254.46,81.0,1.42,88.0
43,san pedro de uraba,CO,8.28,8.28,2019-03-10,298.585,89.0,2.77,0.0
44,chernukha,RU,55.6,55.6,2019-03-10,272.135,91.0,2.82,88.0
